Strategy,Factor,PC,Dev_Sharpe,Dev_Early_SR,Dev_Late_SR,Stability,Stock_TO,PC_TO,Total_TO,TC_Real_Sharpe,Break_Even_TC,DoF,MaxDD,PctPos,r_Performance,r_Stability,r_TC_Robustness,r_Capacity,r_Parsimony,Composite
Corr03ICwt+BlackLitterman,Corr03ICwt,BlackLitterman,0.5446910776470956,0.3351155905714415,0.7806863301562861,0.4292576642200902,0.1452648685089912,0.0674089474406644,0.21267381594965562,0.4635361760538447,302.02856528579275,4,-0.24554642101153912,0.576271186440678,0.85,0.25,0.8125,0.2375,0.0875,0.4781250000000001
All6ICwt+RiskParity,All6ICwt,RiskParity,0.38188834699147944,0.2534351852537151,0.5372513454698122,0.47172554781057396,0.1246892457729107,0.0075291395122370096,0.1322183852851477,0.3281380450323009,319.7186804209583,2,-0.22087138210293344,0.576271186440678,0.3125,0.3625,0.3875,0.9,0.55625,0.47437500000000005
All6EW+MinVariance,All6EW,MinVariance,0.3270310712388611,0.3095295269998455,0.3452521114570861,0.8965318870709329,0.1841922508619055,0.02441954236114444,0.20861179322304993,0.24349417586167357,176.16644884037117,1,-0.22692989926782603,0.559322033898305,0.2125,0.8875,0.175,0.25,0.85,0.473125
Corr03EW+BlackLitterman,Corr03EW,BlackLitterman,0.5145074653892747,0.37799217217756076,0.6683631645141813,0.5655490790733734,0.1771969065670755,0.07668768608275772,0.2538845926498332,0.4187844620824359,241.8732712376479,3,-0.25568407444140484,0.576271186440678,0.7,0.5,0.675,0.0625,0.2625,0.47187500000000004
All6EW+RiskParity,All6EW,RiskParity,0.4272841745647513,0.24214571729833279,0.6653405239121647,0.36394253558242573,0.1841922508619055,0.007632600314818936,0.19182485117672443,0.35048399057590485,250.36122124663447,1,-0.24249247481671043,0.5423728813559322,0.475,0.15,0.4375,0.4125,0.85,0.468125
All6EW+InverseVol,All6EW,InverseVol,0.4184966734311189,0.22891646625071468,0.6560619185394695,0.34892509347338807,0.1841922508619055,0.009850155601231795,0.19404240646313728,0.34075575410828973,242.24501676133508,0,-0.245467821124272,0.5254237288135594,0.425,0.1125,0.425,0.3625,0.9875,0.465625
Corr05EW+MinVariance,Corr05EW,MinVariance,0.4010027891857534,0.335201650440931,0.4676907427052278,0.7167164534881526,0.1836209882475732,0.02136109699017574,0.20498208523774894,0.31883771318790255,219.62038365096734,2,-0.20851548423668587,0.5932203389830508,0.35,0.6875,0.35,0.275,0.55625,0.4475
Top3EW+HRP,Top3EW,HRP,0.2991214007091243,0.2724478497659589,0.32724946883822664,0.832538707345134,0.1531772715472313,0.04776937910040642,0.20094665064763773,0.22393264207354488,179.0222804069688,1,-0.2467634697619151,0.559322033898305,0.15,0.8125,0.1125,0.2875,0.85,0.43562500000000004
All6ICwt+MaxSharpe,All6ICwt,MaxSharpe,0.3705775853000806,0.3477148119009579,0.38757264495996746,0.8971603554138179,0.1246892457729107,0.05630991266958674,0.18099915844249742,0.29908608329868464,233.2583715778984,3,-0.21948533917379986,0.576271186440678,0.25,0.9125,0.25,0.5625,0.2625,0.43187499999999995
All6ICwt+MeanCVaR,All6ICwt,MeanCVaR,0.3474724619015602,0.4479250272775879,0.22434429949216922,0.5008523432050576,0.1246892457729107,0.020046927149527837,0.14473617292243854,0.2876999413558104,261.5961422206083,2,-0.22510356117678076,0.5423728813559322,0.225,0.425,0.2375,0.8,0.55625,0.42000000000000004
All6ICwt+BlackLitterman,All6ICwt,BlackLitterman,0.37909954312956884,0.34002753215504644,0.4105116634453091,0.8283017571322843,0.1246892457729107,0.0571715440864553,0.181860789859366,0.30911645036092184,243.7657263480272,3,-0.2248356504776563,0.5932203389830508,0.2875,0.8,0.2625,0.55,0.2625,0.41937500000000005
All6ICwt+Momentum,All6ICwt,Momentum,0.41059492103177886,0.31850431511974187,0.5176343057028446,0.6153075860906789,0.1246892457729107,0.10674586219282105,0.23143510796573175,0.3172193689148189,197.87590035651382,2,-0.20841966682705593,0.5932203389830508,0.3875,0.5625,0.3375,0.1375,0.55625,0.40875
