ym,threshold,cap_conservative,cap_10th_pctile,cap_median,binding_stock,binding_country,n_stocks
2022-07-01,0.1,2.6866699899654187,9.651621231739526,44.49637477989547,MCGJ.J,SOUTH AFRICA,101
2022-07-01,0.15,4.030004984948129,14.477431847609289,66.74456216984319,MCGJ.J,SOUTH AFRICA,101
2022-07-01,0.2,5.3733399799308375,19.30324246347905,88.99274955979094,MCGJ.J,SOUTH AFRICA,101
2022-07-01,0.25,6.7166749749135475,24.129053079348818,111.24093694973865,MCGJ.J,SOUTH AFRICA,101
2022-08-01,0.05,1.1802672747841725,4.44002092887591,25.78007673704746,ECO.CN,COLOMBIA,101
2022-08-01,0.1,2.360534549568345,8.88004185775182,51.56015347409492,ECO.CN,COLOMBIA,101
2022-08-01,0.15,3.5408018243525174,13.320062786627727,77.34023021114236,ECO.CN,COLOMBIA,101
2022-08-01,0.2,4.72106909913669,17.76008371550364,103.12030694818984,ECO.CN,COLOMBIA,101
2022-08-01,0.25,5.901336373920863,22.200104644379547,128.9003836852373,ECO.CN,COLOMBIA,101
2022-09-01,0.05,1.53681831221919,4.971036516521605,22.161746097711415,ECO.CN,COLOMBIA,104
2022-09-01,0.1,3.07363662443838,9.94207303304321,44.32349219542283,ECO.CN,COLOMBIA,104
2022-09-01,0.15,4.61045493665757,14.913109549564812,66.48523829313423,ECO.CN,COLOMBIA,104
2022-09-01,0.2,6.14727324887676,19.88414606608642,88.64698439084566,ECO.CN,COLOMBIA,104
2022-09-01,0.25,7.6840915610959515,24.855182582608023,110.80873048855707,ECO.CN,COLOMBIA,104
2022-10-01,0.05,0.9331716884684225,4.7961413106741455,19.978968599825354,ECO.CN,COLOMBIA,101
2022-10-01,0.1,1.866343376936845,9.592282621348291,39.95793719965071,ECO.CN,COLOMBIA,101
2022-10-01,0.15,2.7995150654052674,14.388423932022437,59.936905799476044,ECO.CN,COLOMBIA,101
2022-10-01,0.2,3.73268675387369,19.184565242696582,79.91587439930142,ECO.CN,COLOMBIA,101
2022-10-01,0.25,4.6658584423421114,23.98070655337073,99.89484299912675,ECO.CN,COLOMBIA,101
2022-11-01,0.05,1.578603413062116,6.0276309257120255,31.552523675345604,TATN.MM,RUSSIAN FEDERATION,101
2022-11-01,0.1,3.157206826124232,12.055261851424051,63.10504735069121,TATN.MM,RUSSIAN FEDERATION,101
2022-11-01,0.15,4.735810239186347,18.082892777136077,94.6575710260368,TATN.MM,RUSSIAN FEDERATION,101
2022-11-01,0.2,6.314413652248464,24.110523702848102,126.21009470138242,TATN.MM,RUSSIAN FEDERATION,101
2022-11-01,0.25,7.89301706531058,30.13815462856013,157.762618376728,TATN.MM,RUSSIAN FEDERATION,101
2022-12-01,0.05,0.7726250696286228,4.518432050293283,25.895180586143976,FIVEDR.MM,NETHERLANDS,99
2022-12-01,0.1,1.5452501392572455,9.036864100586566,51.79036117228795,FIVEDR.MM,NETHERLANDS,99
2022-12-01,0.15,2.3178752088858676,13.55529615087985,77.68554175843191,FIVEDR.MM,NETHERLANDS,99
2022-12-01,0.2,3.090500278514491,18.073728201173132,103.5807223445759,FIVEDR.MM,NETHERLANDS,99
2022-12-01,0.25,3.863125348143113,22.592160251466417,129.47590293071985,FIVEDR.MM,NETHERLANDS,99
2023-01-01,0.05,0.8470697372465857,4.005062622209569,19.056992403166298,KLBF.JK,INDONESIA,102
2023-01-01,0.1,1.6941394744931715,8.010125244419138,38.113984806332596,KLBF.JK,INDONESIA,102
2023-01-01,0.15,2.5412092117397576,12.015187866628704,57.1709772094989,KLBF.JK,INDONESIA,102
2023-01-01,0.2,3.388278948986343,16.020250488838276,76.22796961266519,KLBF.JK,INDONESIA,102
2023-01-01,0.25,4.235348686232929,20.025313111047847,95.28496201583148,KLBF.JK,INDONESIA,102
2023-02-01,0.05,1.1106315151210302,4.041600352783469,22.0217762324801,KLBF.JK,INDONESIA,101
2023-02-01,0.1,2.2212630302420604,8.083200705566938,44.0435524649602,KLBF.JK,INDONESIA,101
2023-02-01,0.15,3.3318945453630904,12.124801058350405,66.0653286974403,KLBF.JK,INDONESIA,101
2023-02-01,0.2,4.442526060484121,16.166401411133876,88.0871049299204,KLBF.JK,INDONESIA,101
2023-02-01,0.25,5.55315757560515,20.20800176391734,110.1088811624005,KLBF.JK,INDONESIA,101
2023-03-01,0.05,1.302740939241863,4.274831466006558,28.244491856299796,KLBF.JK,INDONESIA,102
2023-03-01,0.1,2.605481878483726,8.549662932013115,56.48898371259959,KLBF.JK,INDONESIA,102
2023-03-01,0.15,3.908222817725589,12.824494398019672,84.7334755688994,KLBF.JK,INDONESIA,102
2023-03-01,0.2,5.210963756967452,17.09932586402623,112.97796742519918,KLBF.JK,INDONESIA,102
2023-03-01,0.25,6.513704696209315,21.374157330032784,141.22245928149897,KLBF.JK,INDONESIA,102
2023-04-01,0.05,0.9694044366417521,3.2037813687853043,23.306678982477887,KLBF.JK,INDONESIA,101
2023-04-01,0.1,1.9388088732835043,6.407562737570609,46.613357964955775,KLBF.JK,INDONESIA,101
2023-04-01,0.15,2.9082133099252565,9.611344106355913,69.92003694743367,KLBF.JK,INDONESIA,101
2023-04-01,0.2,3.8776177465670085,12.815125475141217,93.22671592991155,KLBF.JK,INDONESIA,101
2023-04-01,0.25,4.847022183208761,16.018906843926523,116.53339491238944,KLBF.JK,INDONESIA,101
2023-05-01,0.05,1.2065060436008384,5.017525187652848,18.955241314606514,KLBF.JK,INDONESIA,102
2023-05-01,0.1,2.4130120872016767,10.035050375305696,37.91048262921303,KLBF.JK,INDONESIA,102
2023-05-01,0.15,3.6195181308025144,15.052575562958543,56.86572394381954,KLBF.JK,INDONESIA,102
2023-05-01,0.2,4.826024174403353,20.07010075061139,75.82096525842606,KLBF.JK,INDONESIA,102
2023-05-01,0.25,6.032530218004191,25.08762593826424,94.77620657303255,KLBF.JK,INDONESIA,102
2023-06-01,0.05,1.5580984516252425,5.63859898567922,20.438218637150506,KLBF.JK,INDONESIA,101
2023-06-01,0.1,3.116196903250485,11.27719797135844,40.87643727430101,KLBF.JK,INDONESIA,101
2023-06-01,0.15,4.674295354875728,16.915796957037657,61.31465591145152,KLBF.JK,INDONESIA,101
2023-06-01,0.2,6.23239380650097,22.55439594271688,81.75287454860202,KLBF.JK,INDONESIA,101
2023-06-01,0.25,7.790492258126213,28.192994928396097,102.19109318575252,KLBF.JK,INDONESIA,101
2023-07-01,0.05,1.244465650572539,3.1913175411087695,15.388344991981201,GDRB.BU,HUNGARY,100
2023-07-01,0.1,2.488931301145078,6.382635082217539,30.776689983962402,GDRB.BU,HUNGARY,100
2023-07-01,0.15,3.7333969517176175,9.573952623326306,46.165034975943605,GDRB.BU,HUNGARY,100
2023-07-01,0.2,4.977862602290156,12.765270164435078,61.553379967924805,GDRB.BU,HUNGARY,100
