ric,name,country,industry,total_contribution,avg_weight,months_held,avg_monthly_return,total_return
PGRD.NS,POWER GRID CORPORATION OF INDIA,INDIA,UTILS,0.0005859286693777839,0.026500000000000003,8,-0.0084896842830841,-0.0674544349481101
CMPC.SN,EMPRESAS CMPC,CHILE,BMATR,0.0005838196525863985,0.0035818245736641205,51,0.006631486471239666,0.18906512749454762
BDO.PS,BDO UNIBANK,PHILIPPINES,FINAN,0.0005174526141337628,0.0028024453024969604,74,-0.0023592759331621596,-0.3305322831782189
001040.KS,CJ,SOUTH KOREA,INDUS,0.0004988349249056846,0.002,20,0.012470873122642114,0.1534096703825527
GMKN.MM,MMC NORILSK NICKEL,RUSSIAN FEDERATION,BMATR,0.0004859611613100759,0.008358169863838999,49,0.017801791283608124,0.9749524014355633
GFIJ.J,GOLD FIELDS,SOUTH AFRICA,BMATR,0.0004646006672140562,0.0022222222222222222,6,0.03484505004105422,0.10001516311650427
HDBK.NS,HDFC BANK,INDIA,FINAN,0.00046000573364519384,0.0010526315789473688,12,0.03972776790572125,0.5113801027007345
PGAS.KL,PETRONAS GAS,MALAYSIA,UTILS,0.00044715749737946303,0.005,1,0.0894314994758926,0.08943149947589268
SBIL.NS,SBI LIFE INSURANCE COMPANY,INDIA,FINAN,0.0004260107876253074,0.0008992241979619258,62,0.007939141999322531,0.3161538029824531
CCRO3.SA,CMPH.COCS. RODOVIARIAS ON,BRAZIL,INDUS,0.00042052446448048817,0.002,3,0.07008741074674803,0.2153565966647779
MAHM.NS,MAHINDRA & MAHINDRA,INDIA,CODIS,0.0004168379562115905,0.0016666666666666668,11,0.02273661579335948,0.21517349626813398
055550.KS,SHINHAN FINL.GROUP,SOUTH KOREA,FINAN,0.00037942294031186627,0.0023782463281360857,70,-0.0009913831927532357,-0.17466095456587138
ADRO.JK,ALAMTRI RESOURCES INDONESIA,INDONESIA,ENEGY,0.00037585510655096084,0.002857142857279086,13,0.010962440607992575,0.10936753299674007
006800.KS,MIRAE ASSET SECURITIES,SOUTH KOREA,FINAN,0.00035467766518738897,0.0026190478395574104,11,0.015729639940381842,0.11078184655063628
CDR.WA,CD PROJEKT,POLAND,CODIS,0.0003195317425679283,0.0016666666666666666,29,0.006611001570370929,-0.051474706329976416
259960.KS,KRAFTON,SOUTH KOREA,CODIS,0.00030531793264329673,0.0017065390749601277,19,0.01056385437058066,0.1372163786055336
003490.KS,KOREAN AIR LINES,SOUTH KOREA,CODIS,0.00029749006057253817,0.0015384615384615387,1,0.1933685393721498,0.19336853937214982
1120.SE,AL RAJHI BANK,SAUDI ARABIA,FINAN,0.000292783922670833,0.0009124873006103123,41,0.008088879909835034,0.2586833504477113
034730.KS,SK,SOUTH KOREA,ENEGY,0.0002924754153598931,0.0032311673455621952,88,0.014524446369729126,1.2406144141439492
ICIL.NS,ICICI LMD.GEN.INCM.,INDIA,FINAN,0.0002566067030380908,0.0008992241979619258,62,0.00526692640504143,0.15865682112369406
